time,branch,transactions_per_min
2025-09-01T01:05:00Z,Changi,16
2025-09-01T01:05:00Z,Clementi,46
2025-09-01T01:05:00Z,Punggol,26
2025-09-01T01:05:00Z,Bukit Timah,27
2025-09-01T01:05:00Z,Yishun,17
2025-09-01T01:05:00Z,Hougang,38
2025-09-01T01:06:00Z,Central,26
2025-09-01T01:06:00Z,Orchard,54
2025-09-01T01:06:00Z,Tampines,29
2025-09-01T01:06:00Z,Jurong,30
2025-09-01T01:06:00Z,Woodlands,18
2025-09-01T01:06:00Z,Toa Payoh,17
2025-09-01T01:06:00Z,Changi,16
2025-09-01T01:06:00Z,Clementi,39
2025-09-01T01:06:00Z,Punggol,25
2025-09-01T01:06:00Z,Bukit Timah,33
2025-09-01T01:06:00Z,Yishun,15
2025-09-01T01:06:00Z,Hougang,28
2025-09-01T01:07:00Z,Central,31
2025-09-01T01:07:00Z,Orchard,53
2025-09-01T01:07:00Z,Tampines,37
2025-09-01T01:07:00Z,Jurong,29
2025-09-01T01:07:00Z,Woodlands,13
2025-09-01T01:07:00Z,Toa Payoh,14
2025-09-01T01:07:00Z,Changi,16
2025-09-01T01:07:00Z,Clementi,45
2025-09-01T01:07:00Z,Punggol,27
2025-09-01T01:07:00Z,Bukit Timah,27
2025-09-01T01:07:00Z,Yishun,18
2025-09-01T01:07:00Z,Hougang,31
2025-09-01T01:08:00Z,Central,47
2025-09-01T01:08:00Z,Orchard,45
2025-09-01T01:08:00Z,Tampines,24
2025-09-01T01:08:00Z,Jurong,35
2025-09-01T01:08:00Z,Woodlands,19
2025-09-01T01:08:00Z,Toa Payoh,15
2025-09-01T01:08:00Z,Changi,14
2025-09-01T01:08:00Z,Clementi,41
2025-09-01T01:08:00Z,Punggol,31
2025-09-01T01:08:00Z,Bukit Timah,39
2025-09-01T01:08:00Z,Yishun,12
2025-09-01T01:08:00Z,Hougang,39
2025-09-01T01:09:00Z,Central,35
2025-09-01T01:09:00Z,Orchard,39
2025-09-01T01:09:00Z,Tampines,15
2025-09-01T01:09:00Z,Jurong,34
2025-09-01T01:09:00Z,Woodlands,11
2025-09-01T01:09:00Z,Toa Payoh,20
2025-09-01T01:09:00Z,Changi,16
2025-09-01T01:09:00Z,Clementi,22
2025-09-01T01:09:00Z,Punggol,29
2025-09-01T01:09:00Z,Bukit Timah,31
2025-09-01T01:09:00Z,Yishun,17
2025-09-01T01:09:00Z,Hougang,37
2025-09-01T01:10:00Z,Central,42
2025-09-01T01:10:00Z,Orchard,42
2025-09-01T01:10:00Z,Tampines,25
2025-09-01T01:10:00Z,Jurong,29
2025-09-01T01:10:00Z,Woodlands,19
2025-09-01T01:10:00Z,Toa Payoh,26
2025-09-01T01:10:00Z,Changi,15
2025-09-01T01:10:00Z,Clementi,34
2025-09-01T01:10:00Z,Punggol,26
2025-09-01T01:10:00Z,Bukit Timah,18
2025-09-01T01:10:00Z,Yishun,13
2025-09-01T01:10:00Z,Hougang,38
2025-09-01T01:11:00Z,Central,29
2025-09-01T01:11:00Z,Orchard,42
2025-09-01T01:11:00Z,Tampines,34
2025-09-01T01:11:00Z,Jurong,26
2025-09-01T01:11:00Z,Woodlands,17
2025-09-01T01:11:00Z,Toa Payoh,19
2025-09-01T01:11:00Z,Changi,22
2025-09-01T01:11:00Z,Clementi,33
2025-09-01T01:11:00Z,Punggol,28
2025-09-01T01:11:00Z,Bukit Timah,42
2025-09-01T01:11:00Z,Yishun,10
2025-09-01T01:11:00Z,Hougang,28
2025-09-01T01:12:00Z,Central,26
2025-09-01T01:12:00Z,Orchard,32
2025-09-01T01:12:00Z,Tampines,38
2025-09-01T01:12:00Z,Jurong,34
2025-09-01T01:12:00Z,Woodlands,11
2025-09-01T01:12:00Z,Toa Payoh,18
2025-09-01T01:12:00Z,Changi,17
2025-09-01T01:12:00Z,Clementi,31
2025-09-01T01:12:00Z,Punggol,26
2025-09-01T01:12:00Z,Bukit Timah,38
2025-09-01T01:12:00Z,Yishun,16
2025-09-01T01:12:00Z,Hougang,29
2025-09-01T01:13:00Z,Central,36
2025-09-01T01:13:00Z,Orchard,40
2025-09-01T01:13:00Z,Tampines,30
2025-09-01T01:13:00Z,Jurong,37
2025-09-01T01:13:00Z,Woodlands,15
2025-09-01T01:13:00Z,Toa Payoh,26
2025-09-01T01:13:00Z,Changi,16
2025-09-01T01:13:00Z,Clementi,31
2025-09-01T01:13:00Z,Punggol,31
2025-09-01T01:13:00Z,Bukit Timah,36
2025-09-01T01:13:00Z,Yishun,7
2025-09-01T01:13:00Z,Hougang,25
2025-09-01T01:14:00Z,Central,34
2025-09-01T01:14:00Z,Orchard,41
2025-09-01T01:14:00Z,Tampines,25
2025-09-01T01:14:00Z,Jurong,30
2025-09-01T01:14:00Z,Woodlands,10
2025-09-01T01:14:00Z,Toa Payoh,20
2025-09-01T01:14:00Z,Changi,13
2025-09-01T01:14:00Z,Clementi,33
2025-09-01T01:14:00Z,Punggol,33
2025-09-01T01:14:00Z,Bukit Timah,30
2025-09-01T01:14:00Z,Yishun,8
2025-09-01T01:14:00Z,Hougang,25
2025-09-01T01:15:00Z,Central,27
2025-09-01T01:15:00Z,Orchard,49
2025-09-01T01:15:00Z,Tampines,47
2025-09-01T01:15:00Z,Jurong,25
2025-09-01T01:15:00Z,Woodlands,10
2025-09-01T01:15:00Z,Toa Payoh,19
2025-09-01T01:15:00Z,Changi,14
2025-09-01T01:15:00Z,Clementi,37
2025-09-01T01:15:00Z,Punggol,16
2025-09-01T01:15:00Z,Bukit Timah,31
2025-09-01T01:15:00Z,Yishun,11
2025-09-01T01:15:00Z,Hougang,37
2025-09-01T01:16:00Z,Central,37
2025-09-01T01:16:00Z,Orchard,48
2025-09-01T01:16:00Z,Tampines,29
2025-09-01T01:16:00Z,Jurong,31
2025-09-01T01:16:00Z,Woodlands,26
2025-09-01T01:16:00Z,Toa Payoh,18
2025-09-01T01:16:00Z,Changi,6
2025-09-01T01:16:00Z,Clementi,33
2025-09-01T01:16:00Z,Punggol,30
2025-09-01T01:16:00Z,Bukit Timah,38
2025-09-01T01:16:00Z,Yishun,12
2025-09-01T01:16:00Z,Hougang,46
2025-09-01T01:17:00Z,Central,35
2025-09-01T01:17:00Z,Orchard,60
2025-09-01T01:17:00Z,Tampines,27
2025-09-01T01:17:00Z,Jurong,30
2025-09-01T01:17:00Z,Woodlands,11
2025-09-01T01:17:00Z,Toa Payoh,17
2025-09-01T01:17:00Z,Changi,15
2025-09-01T01:17:00Z,Clementi,36
2025-09-01T01:17:00Z,Punggol,36
2025-09-01T01:17:00Z,Bukit Timah,24
2025-09-01T01:17:00Z,Yishun,16
2025-09-01T01:17:00Z,Hougang,42
2025-09-01T01:18:00Z,Central,28
2025-09-01T01:18:00Z,Orchard,41
2025-09-01T01:18:00Z,Tampines,30
2025-09-01T01:18:00Z,Jurong,37
2025-09-01T01:18:00Z,Woodlands,17
2025-09-01T01:18:00Z,Toa Payoh,16
2025-09-01T01:18:00Z,Changi,14
2025-09-01T01:18:00Z,Clementi,35
2025-09-01T01:18:00Z,Punggol,31
2025-09-01T01:18:00Z,Bukit Timah,21
2025-09-01T01:18:00Z,Yishun,9
2025-09-01T01:18:00Z,Hougang,30
2025-09-01T01:19:00Z,Central,29
2025-09-01T01:19:00Z,Orchard,54
2025-09-01T01:19:00Z,Tampines,35
2025-09-01T01:19:00Z,Jurong,23
2025-09-01T01:19:00Z,Woodlands,12
2025-09-01T01:19:00Z,Toa Payoh,13
2025-09-01T01:19:00Z,Changi,9
2025-09-01T01:19:00Z,Clementi,30
2025-09-01T01:19:00Z,Punggol,29
2025-09-01T01:19:00Z,Bukit Timah,34
2025-09-01T01:19:00Z,Yishun,6
2025-09-01T01:19:00Z,Hougang,44
2025-09-01T01:20:00Z,Central,30
2025-09-01T01:20:00Z,Orchard,42
2025-09-01T01:20:00Z,Tampines,34
2025-09-01T01:20:00Z,Jurong,28
2025-09-01T01:20:00Z,Woodlands,17
2025-09-01T01:20:00Z,Toa Payoh,11
2025-09-01T01:20:00Z,Changi,15
2025-09-01T01:20:00Z,Clementi,31
2025-09-01T01:20:00Z,Punggol,24
2025-09-01T01:20:00Z,Bukit Timah,24
2025-09-01T01:20:00Z,Yishun,15
2025-09-01T01:20:00Z,Hougang,44
2025-09-01T01:21:00Z,Central,26
2025-09-01T01:21:00Z,Orchard,46
2025-09-01T01:21:00Z,Tampines,31
2025-09-01T01:21:00Z,Jurong,25
2025-09-01T01:21:00Z,Woodlands,19
2025-09-01T01:21:00Z,Toa Payoh,18
2025-09-01T01:21:00Z,Changi,9
2025-09-01T01:21:00Z,Clementi,31
2025-09-01T01:21:00Z,Punggol,23
2025-09-01T01:21:00Z,Bukit Timah,22
2025-09-01T01:21:00Z,Yishun,8
2025-09-01T01:21:00Z,Hougang,45
2025-09-01T01:22:00Z,Central,29
2025-09-01T01:22:00Z,Orchard,57
2025-09-01T01:22:00Z,Tampines,33
2025-09-01T01:22:00Z,Jurong,33
2025-09-01T01:22:00Z,Woodlands,15
2025-09-01T01:22:00Z,Toa Payoh,17
2025-09-01T01:22:00Z,Changi,9
2025-09-01T01:22:00Z,Clementi,32
2025-09-01T01:22:00Z,Punggol,22
2025-09-01T01:22:00Z,Bukit Timah,32
2025-09-01T01:22:00Z,Yishun,12
2025-09-01T01:22:00Z,Hougang,35
2025-09-01T01:23:00Z,Central,31
2025-09-01T01:23:00Z,Orchard,50
2025-09-01T01:23:00Z,Tampines,32
2025-09-01T01:23:00Z,Jurong,26
2025-09-01T01:23:00Z,Woodlands,25
2025-09-01T01:23:00Z,Toa Payoh,18
2025-09-01T01:23:00Z,Changi,10
2025-09-01T01:23:00Z,Clementi,30
2025-09-01T01:23:00Z,Punggol,23
2025-09-01T01:23:00Z,Bukit Timah,34
2025-09-01T01:23:00Z,Yishun,12
2025-09-01T01:23:00Z,Hougang,37
2025-09-01T01:24:00Z,Central,35
2025-09-01T01:24:00Z,Orchard,44
2025-09-01T01:24:00Z,Tampines,37
2025-09-01T01:24:00Z,Jurong,27
2025-09-01T01:24:00Z,Woodlands,24
2025-09-01T01:24:00Z,Toa Payoh,19
2025-09-01T01:24:00Z,Changi,10
2025-09-01T01:24:00Z,Clementi,38
2025-09-01T01:24:00Z,Punggol,22
2025-09-01T01:24:00Z,Bukit Timah,27
2025-09-01T01:24:00Z,Yishun,12
2025-09-01T01:24:00Z,Hougang,30
2025-09-01T01:25:00Z,Central,28
2025-09-01T01:25:00Z,Orchard,51
2025-09-01T01:25:00Z,Tampines,27
2025-09-01T01:25:00Z,Jurong,33
2025-09-01T01:25:00Z,Woodlands,20
2025-09-01T01:25:00Z,Toa Payoh,14
2025-09-01T01:25:00Z,Changi,11
2025-09-01T01:25:00Z,Clementi,37
2025-09-01T01:25:00Z,Punggol,28
2025-09-01T01:25:00Z,Bukit Timah,25
2025-09-01T01:25:00Z,Yishun,14
2025-09-01T01:25:00Z,Hougang,50
2025-09-01T01:26:00Z,Central,40
2025-09-01T01:26:00Z,Orchard,46
2025-09-01T01:26:00Z,Tampines,31
2025-09-01T01:26:00Z,Jurong,28
2025-09-01T01:26:00Z,Woodlands,12
2025-09-01T01:26:00Z,Toa Payoh,23
2025-09-01T01:26:00Z,Changi,16
2025-09-01T01:26:00Z,Clementi,23
2025-09-01T01:26:00Z,Punggol,34
2025-09-01T01:26:00Z,Bukit Timah,29
2025-09-01T01:26:00Z,Yishun,14
2025-09-01T01:26:00Z,Hougang,36
2025-09-01T01:27:00Z,Central,41
2025-09-01T01:27:00Z,Orchard,39
2025-09-01T01:27:00Z,Tampines,25
2025-09-01T01:27:00Z,Jurong,29
2025-09-01T01:27:00Z,Woodlands,24
2025-09-01T01:27:00Z,Toa Payoh,18
2025-09-01T01:27:00Z,Changi,10
2025-09-01T01:27:00Z,Clementi,36
2025-09-01T01:27:00Z,Punggol,19
2025-09-01T01:27:00Z,Bukit Timah,27
2025-09-01T01:27:00Z,Yishun,10
2025-09-01T01:27:00Z,Hougang,40
2025-09-01T01:28:00Z,Central,42
2025-09-01T01:28:00Z,Orchard,45
2025-09-01T01:28:00Z,Tampines,31
2025-09-01T01:28:00Z,Jurong,23
2025-09-01T01:28:00Z,Woodlands,16
2025-09-01T01:28:00Z,Toa Payoh,19
2025-09-01T01:28:00Z,Changi,17
2025-09-01T01:28:00Z,Clementi,31
2025-09-01T01:28:00Z,Punggol,34
2025-09-01T01:28:00Z,Bukit Timah,35
2025-09-01T01:28:00Z,Yishun,8
2025-09-01T01:28:00Z,Hougang,43
2025-09-01T01:29:00Z,Central,43
2025-09-01T01:29:00Z,Orchard,48
2025-09-01T01:29:00Z,Tampines,29
2025-09-01T01:29:00Z,Jurong,24
2025-09-01T01:29:00Z,Woodlands,13
2025-09-01T01:29:00Z,Toa Payoh,16
2025-09-01T01:29:00Z,Changi,19
2025-09-01T01:29:00Z,Clementi,32
2025-09-01T01:29:00Z,Punggol,31
2025-09-01T01:29:00Z,Bukit Timah,34
2025-09-01T01:29:00Z,Yishun,14
2025-09-01T01:29:00Z,Hougang,44
2025-09-01T01:30:00Z,Central,44
2025-09-01T01:30:00Z,Orchard,55
2025-09-01T01:30:00Z,Tampines,31
2025-09-01T01:30:00Z,Jurong,25
2025-09-01T01:30:00Z,Woodlands,19
2025-09-01T01:30:00Z,Toa Payoh,13
2025-09-01T01:30:00Z,Changi,9
2025-09-01T01:30:00Z,Clementi,32
2025-09-01T01:30:00Z,Punggol,32
2025-09-01T01:30:00Z,Bukit Timah,27
2025-09-01T01:30:00Z,Yishun,19
2025-09-01T01:30:00Z,Hougang,41
2025-09-01T01:31:00Z,Central,35
2025-09-01T01:31:00Z,Orchard,46
2025-09-01T01:31:00Z,Tampines,26
2025-09-01T01:31:00Z,Jurong,20
2025-09-01T01:31:00Z,Woodlands,14
2025-09-01T01:31:00Z,Toa Payoh,15
2025-09-01T01:31:00Z,Changi,17
2025-09-01T01:31:00Z,Clementi,37
2025-09-01T01:31:00Z,Punggol,33
2025-09-01T01:31:00Z,Bukit Timah,34
2025-09-01T01:31:00Z,Yishun,14
2025-09-01T01:31:00Z,Hougang,36
2025-09-01T01:32:00Z,Central,28
2025-09-01T01:32:00Z,Orchard,50
2025-09-01T01:32:00Z,Tampines,36
2025-09-01T01:32:00Z,Jurong,25
2025-09-01T01:32:00Z,Woodlands,14
2025-09-01T01:32:00Z,Toa Payoh,16
2025-09-01T01:32:00Z,Changi,21
2025-09-01T01:32:00Z,Clementi,50
2025-09-01T01:32:00Z,Punggol,24
2025-09-01T01:32:00Z,Bukit Timah,40
2025-09-01T01:32:00Z,Yishun,11
2025-09-01T01:32:00Z,Hougang,52
2025-09-01T01:33:00Z,Central,30
2025-09-01T01:33:00Z,Orchard,57
2025-09-01T01:33:00Z,Tampines,36
2025-09-01T01:33:00Z,Jurong,41
2025-09-01T01:33:00Z,Woodlands,15
2025-09-01T01:33:00Z,Toa Payoh,14
2025-09-01T01:33:00Z,Changi,8
2025-09-01T01:33:00Z,Clementi,33
2025-09-01T01:33:00Z,Punggol,19
2025-09-01T01:33:00Z,Bukit Timah,33
2025-09-01T01:33:00Z,Yishun,12
2025-09-01T01:33:00Z,Hougang,48
2025-09-01T01:34:00Z,Central,32
2025-09-01T01:34:00Z,Orchard,54
2025-09-01T01:34:00Z,Tampines,41
2025-09-01T01:34:00Z,Jurong,40
2025-09-01T01:34:00Z,Woodlands,21
2025-09-01T01:34:00Z,Toa Payoh,17
2025-09-01T01:34:00Z,Changi,18
2025-09-01T01:34:00Z,Clementi,35
2025-09-01T01:34:00Z,Punggol,25
2025-09-01T01:34:00Z,Bukit Timah,30
2025-09-01T01:34:00Z,Yishun,11
2025-09-01T01:34:00Z,Hougang,24
2025-09-01T01:35:00Z,Central,35
2025-09-01T01:35:00Z,Orchard,52
2025-09-01T01:35:00Z,Tampines,32
2025-09-01T01:35:00Z,Jurong,41
2025-09-01T01:35:00Z,Woodlands,19
2025-09-01T01:35:00Z,Toa Payoh,26
2025-09-01T01:35:00Z,Changi,16
2025-09-01T01:35:00Z,Clementi,31
2025-09-01T01:35:00Z,Punggol,25
2025-09-01T01:35:00Z,Bukit Timah,37
2025-09-01T01:35:00Z,Yishun,13
2025-09-01T01:35:00Z,Hougang,43
2025-09-01T01:36:00Z,Central,43
2025-09-01T01:36:00Z,Orchard,40
2025-09-01T01:36:00Z,Tampines,35
2025-09-01T01:36:00Z,Jurong,21
2025-09-01T01:36:00Z,Woodlands,14
2025-09-01T01:36:00Z,Toa Payoh,20
2025-09-01T01:36:00Z,Changi,9
2025-09-01T01:36:00Z,Clementi,34
2025-09-01T01:36:00Z,Punggol,33
2025-09-01T01:36:00Z,Bukit Timah,23
2025-09-01T01:36:00Z,Yishun,16
2025-09-01T01:36:00Z,Hougang,47
2025-09-01T01:37:00Z,Central,37
2025-09-01T01:37:00Z,Orchard,53
2025-09-01T01:37:00Z,Tampines,36
2025-09-01T01:37:00Z,Jurong,26
2025-09-01T01:37:00Z,Woodlands,22
2025-09-01T01:37:00Z,Toa Payoh,20
2025-09-01T01:37:00Z,Changi,17
2025-09-01T01:37:00Z,Clementi,39
2025-09-01T01:37:00Z,Punggol,37
2025-09-01T01:37:00Z,Bukit Timah,39
2025-09-01T01:37:00Z,Yishun,12
2025-09-01T01:37:00Z,Hougang,32
2025-09-01T01:38:00Z,Central,44
2025-09-01T01:38:00Z,Orchard,48
2025-09-01T01:38:00Z,Tampines,35
2025-09-01T01:38:00Z,Jurong,34
2025-09-01T01:38:00Z,Woodlands,21
2025-09-01T01:38:00Z,Toa Payoh,29
2025-09-01T01:38:00Z,Changi,17
2025-09-01T01:38:00Z,Clementi,33
2025-09-01T01:38:00Z,Punggol,19
2025-09-01T01:38:00Z,Bukit Timah,30
2025-09-01T01:38:00Z,Yishun,17
2025-09-01T01:38:00Z,Hougang,45
2025-09-01T01:39:00Z,Central,37
2025-09-01T01:39:00Z,Orchard,50
2025-09-01T01:39:00Z,Tampines,32
2025-09-01T01:39:00Z,Jurong,33
2025-09-01T01:39:00Z,Woodlands,11
2025-09-01T01:39:00Z,Toa Payoh,20
2025-09-01T01:39:00Z,Changi,24
2025-09-01T01:39:00Z,Clementi,36
2025-09-01T01:39:00Z,Punggol,28
2025-09-01T01:39:00Z,Bukit Timah,31
2025-09-01T01:39:00Z,Yishun,20
2025-09-01T01:39:00Z,Hougang,34
2025-09-01T01:40:00Z,Central,40
2025-09-01T01:40:00Z,Orchard,55
2025-09-01T01:40:00Z,Tampines,50
2025-09-01T01:40:00Z,Jurong,34
2025-09-01T01:40:00Z,Woodlands,21
2025-09-01T01:40:00Z,Toa Payoh,12
2025-09-01T01:40:00Z,Changi,22
2025-09-01T01:40:00Z,Clementi,43
2025-09-01T01:40:00Z,Punggol,22
2025-09-01T01:40:00Z,Bukit Timah,36
2025-09-01T01:40:00Z,Yishun,10
2025-09-01T01:40:00Z,Hougang,27
2025-09-01T01:41:00Z,Central,33
2025-09-01T01:41:00Z,Orchard,42
2025-09-01T01:41:00Z,Tampines,32
2025-09-01T01:41:00Z,Jurong,31
2025-09-01T01:41:00Z,Woodlands,20
2025-09-01T01:41:00Z,Toa Payoh,22
2025-09-01T01:41:00Z,Changi,15
2025-09-01T01:41:00Z,Clementi,29
2025-09-01T01:41:00Z,Punggol,32
2025-09-01T01:41:00Z,Bukit Timah,34
2025-09-01T01:41:00Z,Yishun,12
2025-09-01T01:41:00Z,Hougang,29
2025-09-01T01:42:00Z,Central,20
2025-09-01T01:42:00Z,Orchard,44
2025-09-01T01:42:00Z,Tampines,35
2025-09-01T01:42:00Z,Jurong,35
2025-09-01T01:42:00Z,Woodlands,13
2025-09-01T01:42:00Z,Toa Payoh,20
2025-09-01T01:42:00Z,Changi,7
2025-09-01T01:42:00Z,Clementi,41
2025-09-01T01:42:00Z,Punggol,27
2025-09-01T01:42:00Z,Bukit Timah,34
2025-09-01T01:42:00Z,Yishun,14
2025-09-01T01:42:00Z,Hougang,40
2025-09-01T01:43:00Z,Central,27
2025-09-01T01:43:00Z,Orchard,41
2025-09-01T01:43:00Z,Tampines,41
2025-09-01T01:43:00Z,Jurong,24
2025-09-01T01:43:00Z,Woodlands,20
2025-09-01T01:43:00Z,Toa Payoh,19
2025-09-01T01:43:00Z,Changi,11
2025-09-01T01:43:00Z,Clementi,26
2025-09-01T01:43:00Z,Punggol,26
2025-09-01T01:43:00Z,Bukit Timah,40
2025-09-01T01:43:00Z,Yishun,17
2025-09-01T01:43:00Z,Hougang,37
2025-09-01T01:44:00Z,Central,45
2025-09-01T01:44:00Z,Orchard,45
2025-09-01T01:44:00Z,Tampines,33
2025-09-01T01:44:00Z,Jurong,38
2025-09-01T01:44:00Z,Woodlands,15
2025-09-01T01:44:00Z,Toa Payoh,25
2025-09-01T01:44:00Z,Changi,17
2025-09-01T01:44:00Z,Clementi,42
2025-09-01T01:44:00Z,Punggol,24
2025-09-01T01:44:00Z,Bukit Timah,51
2025-09-01T01:44:00Z,Yishun,19
2025-09-01T01:44:00Z,Hougang,35
2025-09-01T01:45:00Z,Central,37
2025-09-01T01:45:00Z,Orchard,44
2025-09-01T01:45:00Z,Tampines,27
2025-09-01T01:45:00Z,Jurong,46
2025-09-01T01:45:00Z,Woodlands,20
2025-09-01T01:45:00Z,Toa Payoh,22
2025-09-01T01:45:00Z,Changi,12
2025-09-01T01:45:00Z,Clementi,31
2025-09-01T01:45:00Z,Punggol,27
2025-09-01T01:45:00Z,Bukit Timah,32
2025-09-01T01:45:00Z,Yishun,16
2025-09-01T01:45:00Z,Hougang,33
2025-09-01T01:46:00Z,Central,41
2025-09-01T01:46:00Z,Orchard,48
2025-09-01T01:46:00Z,Tampines,28
2025-09-01T01:46:00Z,Jurong,26
2025-09-01T01:46:00Z,Woodlands,18
2025-09-01T01:46:00Z,Toa Payoh,7
2025-09-01T01:46:00Z,Changi,15
2025-09-01T01:46:00Z,Clementi,34
2025-09-01T01:46:00Z,Punggol,17
2025-09-01T01:46:00Z,Bukit Timah,35
2025-09-01T01:46:00Z,Yishun,14
2025-09-01T01:46:00Z,Hougang,40
2025-09-01T01:47:00Z,Central,30
2025-09-01T01:47:00Z,Orchard,43
2025-09-01T01:47:00Z,Tampines,28
2025-09-01T01:47:00Z,Jurong,47
2025-09-01T01:47:00Z,Woodlands,20
2025-09-01T01:47:00Z,Toa Payoh,24
2025-09-01T01:47:00Z,Changi,23
2025-09-01T01:47:00Z,Clementi,37
2025-09-01T01:47:00Z,Punggol,37
2025-09-01T01:47:00Z,Bukit Timah,36
2025-09-01T01:47:00Z,Yishun,11
2025-09-01T01:47:00Z,Hougang,38
2025-09-01T01:48:00Z,Central,29
2025-09-01T01:48:00Z,Orchard,56
2025-09-01T01:48:00Z,Tampines,35
2025-09-01T01:48:00Z,Jurong,38
2025-09-01T01:48:00Z,Woodlands,16
2025-09-01T01:48:00Z,Toa Payoh,22
2025-09-01T01:48:00Z,Changi,19
2025-09-01T01:48:00Z,Clementi,44
2025-09-01T01:48:00Z,Punggol,31
2025-09-01T01:48:00Z,Bukit Timah,30
2025-09-01T01:48:00Z,Yishun,13
2025-09-01T01:48:00Z,Hougang,38
2025-09-01T01:49:00Z,Central,33
2025-09-01T01:49:00Z,Orchard,41
2025-09-01T01:49:00Z,Tampines,36
2025-09-01T01:49:00Z,Jurong,32
2025-09-01T01:49:00Z,Woodlands,16
2025-09-01T01:49:00Z,Toa Payoh,18
2025-09-01T01:49:00Z,Changi,14
2025-09-01T01:49:00Z,Clementi,39
2025-09-01T01:49:00Z,Punggol,32
2025-09-01T01:49:00Z,Bukit Timah,39
2025-09-01T01:49:00Z,Yishun,23
2025-09-01T01:49:00Z,Hougang,34
2025-09-01T01:50:00Z,Central,35
2025-09-01T01:50:00Z,Orchard,47
2025-09-01T01:50:00Z,Tampines,30
2025-09-01T01:50:00Z,Jurong,36
2025-09-01T01:50:00Z,Woodlands,16
2025-09-01T01:50:00Z,Toa Payoh,21
2025-09-01T01:50:00Z,Changi,14
2025-09-01T01:50:00Z,Clementi,31
2025-09-01T01:50:00Z,Punggol,25
2025-09-01T01:50:00Z,Bukit Timah,37
2025-09-01T01:50:00Z,Yishun,15
2025-09-01T01:50:00Z,Hougang,47
2025-09-01T01:51:00Z,Central,52
2025-09-01T01:51:00Z,Orchard,41
2025-09-01T01:51:00Z,Tampines,36
2025-09-01T01:51:00Z,Jurong,28
2025-09-01T01:51:00Z,Woodlands,22
2025-09-01T01:51:00Z,Toa Payoh,23
2025-09-01T01:51:00Z,Changi,17
2025-09-01T01:51:00Z,Clementi,40
2025-09-01T01:51:00Z,Punggol,32
2025-09-01T01:51:00Z,Bukit Timah,28
2025-09-01T01:51:00Z,Yishun,16
2025-09-01T01:51:00Z,Hougang,35
2025-09-01T01:52:00Z,Central,40
